Wavelength,S2c,S2
nm,Undefined,V
1100,7.5371702841568E-4,6.71192E-4
1110,0.00120431730992603,0.001090488
1120,0.00178423483808231,0.001637528
1130,0.00245881699063492,0.002281168
1140,0.00339805230648899,0.003178504
1150,0.00456470404100132,0.004295832
1160,0.00617437790127945,0.005831008
1170,0.00799276942633438,0.007550872
1180,0.0103131818379211,0.00973232
1190,0.0132917967599115,0.012514536
1200,0.01738349615376,0.016326904
1210,0.022927493507432,0.021487848
1220,0.030059695990159,0.028128616
1230,0.0390849286248503,0.036524152
1240,0.0498266344157267,0.04655428
1250,0.0624683742806826,0.058359432
1260,0.078303412644247,0.073120904
1270,0.0927522158258629,0.08661136
1280,0.118110284154749,0.11030744
1290,0.148807148950195,0.1397928
1300,0.183350681995926,0.17477696
1310,0.230019244934654,0.22354672
1320,0.281386073885107,0.27873032
1330,0.34191248,0.34191248
1340,0.422588201380119,0.41792288
1350,0.504833028344774,0.48547688
1360,0.576433802996635,0.536362
1370,0.720787600803795,0.65550624
1380,0.822532328798275,0.73733744
1390,23604.3897250843,21012.54
1400,27774.532340374,24601.76
1410,32927.9176512146,29122.96
1420,38953.0502438498,34330.04
1430,46721.7726002216,40864.12
1440,56727.8915189624,49000.14
1450,68408.7478306198,58184.24
1460,80833.4640704584,67601.34
1470,93518.8668780994,76683.64
1480,108439.19488389,87078.96
1490,126335.177603867,99222.38
1500,148373.386717224,114015.34
