,Unnamed: 0,Wavelength,S2c,Wavelength.1,S2
0,1,1110,0.00120431730992603,1110,0.001090488
1,2,1120,0.0017842348380823101,1120,0.001637528
2,3,1130,0.00245881699063492,1130,0.002281168
3,4,1140,0.00339805230648899,1140,0.0031785040000000004
4,5,1150,0.004564704041001321,1150,0.004295832
5,6,1160,0.00617437790127945,1160,0.005831008
6,7,1170,0.00799276942633438,1170,0.007550871999999998
7,8,1180,0.0103131818379211,1180,0.00973232
8,9,1190,0.0132917967599115,1190,0.012514536
9,10,1200,0.01738349615376,1200,0.016326904
10,11,1210,0.022927493507432003,1210,0.021487848
11,12,1220,0.030059695990159,1220,0.028128616
12,13,1230,0.0390849286248503,1230,0.036524152
13,14,1240,0.0498266344157267,1240,0.04655428
14,15,1250,0.0624683742806826,1250,0.058359432
15,16,1260,0.078303412644247,1260,0.073120904
16,17,1270,0.0927522158258629,1270,0.08661136
17,18,1280,0.11811028415474903,1280,0.11030744
18,19,1290,0.148807148950195,1290,0.1397928
19,20,1300,0.183350681995926,1300,0.17477696
20,21,1310,0.230019244934654,1310,0.22354672
21,22,1320,0.281386073885107,1320,0.27873032
22,23,1330,0.34191248,1330,0.34191248
23,24,1340,0.4225882013801189,1340,0.41792288
24,25,1350,0.5048330283447741,1350,0.48547688
25,26,1360,0.5764338029966349,1360,0.536362
26,27,1370,0.720787600803795,1370,0.65550624
27,28,1380,0.822532328798275,1380,0.73733744
28,29,1390,23604.3897250843,1390,0.913588695652174
29,30,1400,27774.532340374,1400,1.0696417391304347
30,31,1410,32927.9176512146,1410,1.2662156521739132
31,32,1420,38953.0502438498,1420,1.4926104347826088
32,33,1430,46721.7726002216,1430,1.7767008695652176
33,34,1440,56727.8915189624,1440,2.1304408695652173
34,35,1450,68408.7478306198,1450,2.529749565217392
35,36,1460,80833.4640704584,1460,2.9391886956521738
36,37,1470,93518.86687809939,1470,3.3340713043478263
37,38,1480,108439.19488389,1480,3.786041739130435
38,39,1490,126335.17760386699,1490,4.3140165217391315
39,40,1500,148373.386717224,1500,4.957188695652174
