,Wavelength,S2c,S2
0,1100,-4.60859885787964e-06,-4.104e-06
1,1110,0.00015817426913166,0.000143224
2,1120,0.000291766167053223,0.000267776
3,1130,0.000413387129859924,0.00038352
4,1140,0.000604257075801849,0.000565216
5,1150,0.0009620596245594019,0.000905392
6,1160,0.00131473937049961,0.001241624
7,1170,0.00189274020803833,0.001788096
8,1180,0.0023531253682403607,0.002220592
9,1190,0.0029822990871849107,0.0028079040000000004
10,1200,0.00398544039964676,0.0037432
11,1210,0.0053149395918645785,0.004981208
12,1220,0.00691652815010548,0.006472199999999999
13,1230,0.00904772738016414,0.008454936
14,1240,0.0114124119075193,0.010662904
15,1250,0.0141402373431892,0.013210143999999998
16,1260,0.017450470803606004,0.016295511999999998
17,1270,0.0218807747852268,0.020432112
18,1280,0.0274739098560381,0.025658872000000003
19,1290,0.0340403389460449,0.031978264
20,1300,0.0416815235335493,0.03973244
21,1310,0.0523062815026855,0.050834432
22,1320,0.0646902418872213,0.064079688
23,1330,0.07618272,0.07618272
24,1340,0.0963924810467148,0.09532832
25,1350,0.11663202835207,0.11216016
26,1360,0.132680990911789,0.12345744
27,1370,0.1656551405373,0.15065184
28,1380,0.187849481960764,0.16839272
29,1390,0.22783469649581894,0.2028176
30,1400,0.265157360770369,0.2348676
31,1410,0.31403329113250705,0.27774544
32,1420,0.374806561615,0.33032392
33,1430,0.454153870137215,0.3972152
34,1440,0.555670662028933,0.47997448
35,1450,0.671685822036095,0.57129432
36,1460,0.7933944733425521,0.66351888
37,1470,0.915874256436329,0.75099896
38,1480,24878.0266889787,0.8685904347826088
39,1490,29115.4473372245,0.9942165217391304
40,1500,34369.7144546509,1.1483
