,Wavelength,S2c,S2,Wavelength,S2c,S2,Wavelength,S2c,S2,Wavelength,S2c,S2
0,1100,0.000341737038116455,0.00030432,1100,0.0013003345841789199,0.00115796,1100,0.00129328243972778,0.00115168,1100,0.0009644369013404847,0.00085884
1,1110,0.000452443965940475,0.00040968,1110,0.0010709872593498199,0.00096976,1110,0.0014618949584913302,0.00132372,1110,0.00111582524269581,0.00101036
2,1120,0.000468088048839569,0.0004296,1120,0.000936568350234032,0.00085956,1120,0.0015041142135477099,0.00138044,1120,0.00104914483348846,0.00096288
3,1130,0.00032987327185630803,0.00030604,1130,0.00124555077122688,0.00115556,1130,0.0013109563068962099,0.00121624,1130,0.00115539719503403,0.00107192
4,1140,0.000345438816900253,0.00032312,1140,0.00117871695333481,0.00110256,1140,0.0014237484488582599,0.00133176,1140,0.0010935759921503099,0.00102292
5,1150,0.000258719181733131,0.00024348,1150,0.0011425382494115804,0.00107524,1150,0.00148579701591015,0.00139828,1150,0.0008981427680635449,0.00084524
6,1160,0.000211904443554878,0.00020012,1160,0.0011163209103202802,0.00105424,1160,0.00124207431685925,0.001173,1160,0.00107659147437096,0.00101672
7,1170,0.000185876586341858,0.0001756,1170,0.00129897671808243,0.00122716,1170,0.0014219770559692401,0.00134336,1170,0.000814639070892334,0.0007696000000000001
8,1180,0.000519372223930359,0.00049012,1180,0.00117145924694061,0.00110548,1180,0.00136059161151886,0.00128396,1180,0.00101581289043427,0.0009586
9,1190,0.000355848877372742,0.00033504,1190,0.0012971320348548901,0.00122128,1190,0.00133094957382202,0.00125312,1190,0.000859330855135918,0.00080908
10,1200,0.000373970422625542,0.00035124,1200,0.00130670316672325,0.00122728,1200,0.00138770666790009,0.00130336,1200,0.000782437604427338,0.00073488
11,1210,0.000143276508107185,0.00013428,1210,0.00132943698273182,0.00124596,1210,0.0013994747395992301,0.0013116,1210,0.000940110707201958,0.00088108
12,1220,0.0003674879793977741,0.00034388,1220,0.00133316448778152,0.00124752,1220,0.0013986087237310401,0.00130876,1220,0.000989058609666824,0.00092552
13,1230,0.00046331563556671103,0.00043296,1230,0.00129671876051903,0.00121176,1230,0.00155063490521431,0.00144904,1230,0.000900178105688095,0.0008412000000000001
14,1240,0.000531463779172897,0.00049656,1240,0.0011198670481395699,0.00104632,1240,0.0013637221863842,0.00127416,1240,0.0010434910708522801,0.00097496
15,1250,0.000443662504663467,0.00041448,1250,0.0013491844416570699,0.00126044,1250,0.00134982668616295,0.00126104,1250,0.0009066351608037947,0.0008470000000000001
16,1260,0.0006527631033039089,0.00060956,1260,0.0013150355844497698,0.001228,1260,0.0014173256488037099,0.00132352,1260,0.0008432076703548428,0.0007874
17,1270,0.00040792771355152097,0.00038092,1270,0.00129262067459106,0.00120704,1270,0.00161136372998714,0.00150468,1270,0.00119696777273655,0.00111772
18,1280,0.000245327317047119,0.00022912,1280,0.00128150116155148,0.00119684,1280,0.0015205753731012302,0.00142012,1280,0.0010072639389514901,0.00094072
19,1290,0.00046488129638671904,0.00043672,1290,0.00135938819091797,0.00127704,1290,0.001547844375,0.00145408,1290,0.00112102901367188,0.00105312
20,1300,0.000478495066351891,0.00045612,1300,0.0014133291528368,0.00134724,1300,0.00143993319318295,0.0013726,1300,0.0011937409144592301,0.00113792
21,1310,0.000509990656805038,0.00049564,1310,0.00139896557378769,0.0013596,1310,0.00136632715954781,0.00132788,1310,0.000998085176944733,0.00097
22,1320,0.000631681885743141,0.00062572,1320,0.0014419290913581801,0.00142832,1320,0.00151461511030197,0.00150032,1320,0.000983764885282516,0.00097448
23,1330,0.0006034,0.0006034,1330,0.00140524,0.00140524,1330,0.00138788,0.00138788,1330,0.00114836,0.00114836
24,1340,0.000715741699676514,0.00070784,1340,0.00142440525754452,0.00140868,1340,0.0013596908181524301,0.00134468,1340,0.00117594225680351,0.00116296
25,1350,0.0007801107600927348,0.0007502,1350,0.0016489848559379599,0.00158576,1350,0.00140532242817879,0.00135144,1350,0.00127184466602802,0.00122308
26,1360,0.0005924233438682558,0.00055124,1360,0.00170483455272675,0.00158632,1360,0.00172680163267136,0.00160676,1360,0.0011096169618988,0.00103248
27,1370,0.0010196710834932301,0.00092732,1370,0.00127578740662575,0.00116024,1370,0.0014669399981308,0.00133408,1370,0.00153221161474228,0.00139344
28,1380,0.000920859229359627,0.00082548,1380,0.0015238330514431,0.001366,1380,0.00176590609109402,0.001583,1380,0.00129920711935043,0.00116464
29,1390,0.000923391858100891,0.000822,1390,0.0016910427828598,0.00150536,1390,0.0015685978771019,0.00139636,1390,0.0013350314109993,0.00118844
30,1400,0.00114002911813259,0.0010098,1400,0.0015740936807584801,0.00139428,1400,0.001557881739645,0.00137992,1400,0.00167827459482193,0.00148656
31,1410,0.0011546212852478,0.0010212,1410,0.0017447309025573699,0.00154312,1410,0.00194725319458008,0.00172224,1410,0.00154030911605835,0.00136232
32,1420,0.00118890062596798,0.0010478,1420,0.00175260155265331,0.0015446,1420,0.0019324684425449398,0.00170312,1420,0.0014315371118021,0.00126164
33,1430,0.00110090368766785,0.00096288,1430,0.00180177395243645,0.00157588,1430,0.00194999715166092,0.00170552,1430,0.0018338790699482,0.00160396
34,1440,0.0012112875256776801,0.00104628,1440,0.0021422706053972197,0.00185044,1440,0.0020549330562353104,0.001775,1440,0.00168956017029285,0.0014594
35,1450,0.00127453446153641,0.00108404,1450,0.00197178725393295,0.00167708,1450,0.00205295940553665,0.00174612,1450,0.0020795308224868803,0.00176872
36,1460,0.0015562285720729801,0.00130148,1460,0.00217241607227325,0.0018168,1460,0.00202031824951172,0.0016896,1460,0.0021203775719070396,0.00177328
