Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00313636263793945,1100,0.00279296
1110,0.00322939500938416,1110,0.00292416
1120,0.00318456774232864,1120,0.00292272
1130,0.00329687877127647,1130,0.00305868
1140,0.00305746280400276,1140,0.00285992
1150,0.00325734547896862,1150,0.00306548
1160,0.00316103148649693,1160,0.00298524
1170,0.0031134116507721,1170,0.00294128
1180,0.00337839911563873,1180,0.00318812
1190,0.00304714719205856,1190,0.00286896
1200,0.00330487470626831,1200,0.003104
1210,0.00322276113409996,1210,0.0030204
1220,0.0034084862744236,1220,0.00318952
1230,0.00307918270141602,1230,0.00287744
1240,0.00322829782472134,1240,0.00301628
1250,0.00339396249948502,1250,0.00317072
1260,0.0033833681001091,1260,0.00315944
1270,0.00341591804992676,1270,0.00318976
1280,0.00302680286715031,1280,0.00282684
1290,0.00353233994018555,1290,0.00331836
1300,0.00323444705028534,1300,0.0030832
1310,0.0028315573574543,1310,0.00275188
1320,0.00302272886002064,1320,0.0029942
1330,0.00313544,1330,0.00313544
1340,0.00314038951107502,1340,0.00310572
1350,0.00312934433083534,1350,0.00300936
1360,0.00322219662866592,1360,0.0029982
1370,0.00340846270733833,1370,0.00309976
1380,0.0035142312093544,1380,0.00315024
1390,0.00357440270210266,1390,0.00318192
1400,0.00346014304177284,1400,0.00306488
1410,0.00364671281211853,1410,0.00322532
1420,0.00376567650452137,1420,0.00331876
1430,0.00377820523219109,1430,0.00330452
1440,0.00360964330968857,1440,0.00311792
1450,0.00385948655475616,1450,0.00328264
1460,0.00406139450376511,1460,0.00339656
1470,0.00383472569913864,1470,0.0031444
1480,0.00415436164718151,1480,0.00333604
1490,0.00400453298727035,1490,0.00314512
1500,0.00437043981933594,1500,0.0033584
