Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.0015303602640152,1100,0.0013628
1110,0.00166055152115822,1110,0.0015036
1120,0.00188542728052139,1120,0.0017304
1130,0.00223594665775299,1130,0.0020744
1140,0.00181100939536095,1140,0.001694
1150,0.00166783977184296,1150,0.0015696
1160,0.00113427963190079,1160,0.0010712
1170,0.00195318608837128,1170,0.0018452
1180,0.00154756222114563,1180,0.0014604
1190,0.00149035083789825,1190,0.0014032
1200,0.00138966574311256,1200,0.0013052
1210,0.00173451215057373,1210,0.0016256
1220,0.00180089200558662,1220,0.0016852
1230,0.00180206839036942,1230,0.001684
1240,0.00197875429944992,1240,0.0018488
1250,0.00156878924636841,1250,0.0014656
1260,0.00200425130281448,1260,0.0018716
1270,0.00156822782664299,1270,0.0014644
1280,0.00158297793960571,1280,0.0014784
1290,0.00150943780517578,1290,0.001418
1300,0.00172968224458694,1300,0.0016488
1310,0.00203444743490219,1310,0.0019772
1320,0.00156880657553673,1320,0.001554
1330,0.0011568,1330,0.0011568
1340,0.00153292328310013,1340,0.001516
1350,0.00159349737238884,1350,0.0015324
1360,0.00168772516365051,1360,0.0015704
1370,0.00141495141940117,1370,0.0012868
1380,0.00213961331820488,1380,0.001918
1390,0.00187778811435699,1390,0.0016716
1400,0.00207052228426933,1400,0.001834
1410,0.00170457016220093,1410,0.0015076
1420,0.00181092326688766,1420,0.001596
1430,0.00211930362606049,1430,0.0018536
1440,0.00234598103952408,1440,0.0020264
1450,0.00224281570682526,1450,0.0019076
1460,0.00257848856134415,1460,0.0021564
1470,0.00245566838436127,1470,0.0020136
1480,0.00213095276155472,1480,0.0017112
1490,0.00312201597547531,1490,0.002452
1500,0.00310865490722656,1500,0.0023888
