Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.0011120378355217,1100,9.9028E-4
1110,9.21983793511391E-4,1110,8.3484E-4
1120,9.22534425492287E-4,1120,8.4668E-4
1130,0.00101717033454895,1130,9.4368E-4
1140,0.00109994766629219,1140,0.00102888
1150,9.52759845199585E-4,1150,8.9664E-4
1160,9.39571511368752E-4,1160,8.8732E-4
1170,7.01715869121552E-4,1170,6.6292E-4
1180,8.41897585220337E-4,1180,7.9448E-4
1190,9.31426789340973E-4,1190,8.7696E-4
1200,9.14419649720192E-4,1200,8.5884E-4
1210,9.80912715468407E-4,1210,9.1932E-4
1220,8.23032866735458E-4,1220,7.7016E-4
1230,9.41184792575836E-4,1230,8.7952E-4
1240,0.00103531404637814,1240,9.6732E-4
1250,0.00100168734767437,1250,9.358E-4
1260,8.16221598100662E-4,1260,7.622E-4
1270,8.81523093266487E-4,1270,8.2316E-4
1280,0.001117764022398,1280,0.00104392
1290,0.00106278046875,1290,9.984E-4
1300,0.00108866754375458,1300,0.00103776
1310,0.00116703938937187,1310,0.0011342
1320,8.95491753387451E-4,1320,8.8704E-4
1330,0.00101072,1330,0.00101072
1340,0.00101298320910931,1340,0.0010018
1350,0.00122055825881958,1350,0.00117376
1360,0.00122719027627945,1360,0.00114188
1370,0.00134796444359303,1370,0.00122588
1380,0.00143481264331341,1380,0.0012862
1390,0.00121685522672653,1390,0.00108324
1400,0.00132612775135994,1400,0.00117464
1410,0.00132548533599854,1410,0.00117232
1420,0.00133064281550407,1420,0.00117272
1430,0.00130044019436836,1430,0.0011374
1440,0.00151979375712872,1440,0.00131276
1450,0.00128643281284332,1450,0.00109416
1460,0.00159468349329948,1460,0.00133364
1470,0.00153125607042313,1470,0.0012556
1480,0.00169893421782017,1480,0.00136428
1490,0.00190743462175369,1490,0.00149808
1500,0.00171397655944824,1500,0.00131708
