Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00140414035377502,1100,0.0012504
1110,0.0013336539085865,1110,0.0012076
1120,0.00113840408153534,1120,0.0010448
1130,0.00107615172729492,1130,9.984E-4
1140,7.77857400274277E-4,1140,7.276E-4
1150,9.44429147052765E-4,1150,8.888E-4
1160,0.00134859833755493,1160,0.0012736
1170,0.00147346360015869,1170,0.001392
1180,0.00109528917541504,1180,0.0010336
1190,4.56281869983673E-4,1190,4.296E-4
1200,8.47512972354889E-4,1200,7.96E-4
1210,9.6798069820404E-4,1210,9.072E-4
1220,6.99753195619583E-4,1220,6.548E-4
1230,0.00117541087884903,1230,0.0010984
1240,0.00114863647456169,1240,0.0010732
1250,0.00147073991847038,1250,0.001374
1260,0.00124778457899094,1260,0.0011652
1270,0.00102592342114449,1270,9.58E-4
1280,0.00121764239239693,1280,0.0011372
1290,6.46354467773438E-4,1290,6.072E-4
1300,0.00165079329214096,1300,0.0015736
1310,6.25603904724121E-4,1310,6.08E-4
1320,0.00103173765778542,1320,0.001022
1330,8.448E-4,1330,8.448E-4
1340,7.46642844486237E-4,1340,7.384E-4
1350,0.00107439407801628,1350,0.0010332
1360,0.00105665523490906,1360,9.832E-4
1370,5.36599543571472E-4,1370,4.88E-4
1380,0.00155194475927353,1380,0.0013912
1390,0.00121546227550507,1390,0.001082
1400,0.00185782522954941,1400,0.0016456
1410,0.00103431996841431,1410,9.148E-4
1420,0.00194072879428864,1420,0.0017104
1430,0.00123709890127182,1430,0.001082
1440,0.00179491166782379,1440,0.0015504
1450,0.0012269880853653,1450,0.0010436
1460,0.00158650464811325,1460,0.0013268
1470,0.0020063893652916,1470,0.0016452
1480,0.00185997606630325,1480,0.0014936
1490,0.00137103866329193,1490,0.0010768
1500,0.00180106262207031,1500,0.001384
