Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00378120713310242,1100,0.0033672
1110,0.00349824620804787,1110,0.0031676
1120,0.0035028153151989,1120,0.0032148
1130,0.00338754972810745,1130,0.0031428
1140,0.00344412506971359,1140,0.0032216
1150,0.00342451198821068,1150,0.0032228
1160,0.00366883128137588,1160,0.0034648
1170,0.00321875583000183,1170,0.0030408
1180,0.00354994072914123,1180,0.00335
1190,0.0033562632894516,1190,0.00316
1200,0.00346287838101387,1200,0.0032524
1210,0.00341780839118958,1210,0.0032032
1220,0.00401941313281059,1220,0.0037612
1230,0.00343634323940277,1230,0.0032112
1240,0.00355079795751572,1240,0.0033176
1250,0.00352378152227402,1250,0.003292
1260,0.00299117051668167,1260,0.0027932
1270,0.00369889300274849,1270,0.003454
1280,0.00339081070017815,1280,0.0031668
1290,0.00299290220947266,1290,0.0028116
1300,0.00329780998549461,1300,0.0031436
1310,0.00327783519554138,1310,0.0031856
1320,0.00329146522450447,1320,0.0032604
1330,0.0031444,1330,0.0031444
1340,0.00293035070872307,1340,0.002898
1350,0.00332384168696403,1350,0.0031964
1360,0.00353063850460052,1360,0.0032852
1370,0.00352484323129654,1370,0.0032056
1380,0.00354341383938789,1380,0.0031764
1390,0.00289958523616791,1390,0.0025812
1400,0.00333225385727882,1400,0.0029516
1410,0.00355929084014893,1410,0.003148
1420,0.00340580656509399,1420,0.0030016
1430,0.00344695542287827,1430,0.0030148
1440,0.00329993306112289,1440,0.0028504
1450,0.00337245364513397,1450,0.0028684
1460,0.00357860349025726,1460,0.0029928
1470,0.0041527820731163,1470,0.0034052
1480,0.00427834344763756,1480,0.0034356
1490,0.00442124317831993,1490,0.0034724
1500,0.0044427946472168,1500,0.003414
