Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,6.08191311264038E-4,1100,5.416E-4
1110,0.00118831699705124,1110,0.001076
1120,9.68863810586929E-4,1120,8.892E-4
1130,9.12314525222778E-4,1130,8.464E-4
1140,7.70160075807571E-4,1140,7.204E-4
1150,7.94816608905792E-4,1150,7.48E-4
1160,0.00114020939846039,1160,0.0010768
1170,8.93816568946838E-4,1170,8.444E-4
1180,7.12955260467529E-4,1180,6.728E-4
1190,0.00157574437222481,1190,0.0014836
1200,0.0010127567076683,1200,9.512E-4
1210,9.13777193498611E-4,1210,8.564E-4
1220,5.17227468967438E-4,1220,4.84E-4
1230,0.00171346312747002,1230,0.0016012
1240,3.2365604724884E-4,1240,3.024E-4
1250,8.92291700172424E-4,1250,8.336E-4
1260,8.30142984580994E-4,1260,7.752E-4
1270,4.60487548112869E-4,1270,4.3E-4
1280,1.64036945581436E-4,1280,1.532E-4
1290,9.72086462402344E-4,1290,9.132E-4
1300,9.89468882274628E-4,1300,9.432E-4
1310,0.00105364868164062,1310,0.001024
1320,6.22273084402084E-4,1320,6.164E-4
1330,8.444E-4,1330,8.444E-4
1340,6.02653216838837E-4,1340,5.96E-4
1350,0.00150074093437195,1350,0.0014432
1360,8.83411923408508E-4,1360,8.22E-4
1370,7.90824573230743E-4,1370,7.192E-4
1380,2.41849930858612E-4,1380,2.168E-4
1390,9.61136342811584E-4,1390,8.556E-4
1400,0.00125902205638886,1400,0.0011152
1410,0.00168060035095215,1410,0.0014864
1420,0.00152861893806458,1420,0.0013472
1430,0.00137201356887817,1430,0.0012
1440,0.00179676400184631,1440,0.001552
1450,0.00160086908493042,1450,0.0013616
1460,0.00175008155183792,1460,0.0014636
1470,0.0023024939956665,1470,0.001888
1480,0.00195511678099632,1480,0.00157
1490,0.00123199945263863,1490,9.676E-4
1500,0.00183750030517578,1500,0.001412
