Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00275078551712036,1100,0.0024496
1110,0.00321110641322136,1110,0.0029076
1120,0.00245593682980537,1120,0.002254
1130,0.00289991847667694,1130,0.0026904
1140,0.00289291111207008,1140,0.002706
1150,0.0031677904738903,1150,0.0029812
1160,0.00281409778728485,1160,0.0026576
1170,0.00265943243465424,1170,0.0025124
1180,0.00286792823562622,1180,0.0027064
1190,0.00309583425192833,1190,0.0029148
1200,0.00230787577748299,1200,0.0021676
1210,0.00288644332537651,1210,0.0027052
1220,0.0032363050971508,1220,0.0030284
1230,0.00249550088262558,1230,0.002332
1240,0.00297326884675026,1240,0.002778
1250,0.00334438122363091,1250,0.0031244
1260,0.00301215968399048,1260,0.0028128
1270,0.00282803608617783,1270,0.0026408
1280,0.00311199072217941,1280,0.0029064
1290,0.00238316597900391,1290,0.0022388
1300,0.00247786842656136,1300,0.002362
1310,0.00238305697917938,1310,0.002316
1320,0.00346954597091675,1320,0.0034368
1330,0.0024492,1330,0.0024492
1340,0.00294369806184769,1340,0.0029112
1350,0.00310255726981163,1350,0.0029836
1360,0.00316867605228424,1360,0.0029484
1370,0.00313206995882988,1370,0.0028484
1380,0.00232791713891029,1380,0.0020868
1390,0.00297597288379669,1390,0.0026492
1400,0.0036420419242382,1400,0.003226
1410,0.00282481964263916,1410,0.0024984
1420,0.00331276414160728,1420,0.0029196
1430,0.0030422114200592,1430,0.0026608
1440,0.00289658732771873,1440,0.002502
1450,0.0035182437204361,1450,0.0029924
1460,0.00340019944028854,1460,0.0028436
1470,0.00360057376737595,1470,0.0029524
1480,0.00334387234416008,1480,0.0026852
1490,0.00353607780060768,1490,0.0027772
1500,0.00367135684204102,1500,0.0028212
