Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00106694004552841,1100,9.5012E-4
1110,0.00118601987869263,1110,0.00107392
1120,0.00117104821082592,1120,0.00107476
1130,0.00117923981944084,1130,0.00109404
1140,0.00110152989409924,1140,0.00103036
1150,0.00113454757976055,1150,0.00106772
1160,0.00116579210561752,1160,0.00110096
1170,0.0012656120825386,1170,0.00119564
1180,0.00107621486701965,1180,0.0010156
1190,0.00121985301050663,1190,0.00114852
1200,9.39546918749809E-4,1200,8.8244E-4
1210,0.00127531883787632,1210,0.00119524
1220,0.00123925136800289,1220,0.00115964
1230,0.00113119385634899,1230,0.00105708
1240,0.00126752441678524,1240,0.00118428
1250,0.00136361353488922,1250,0.00127392
1260,9.85719832878113E-4,1260,9.2048E-4
1270,0.0011628702761507,1270,0.00108588
1280,0.0011581950606823,1280,0.00108168
1290,0.00135197938476563,1290,0.00127008
1300,0.0012002870190239,1300,0.00114416
1310,0.0013543912955761,1310,0.00131628
1320,0.00122734381098747,1320,0.00121576
1330,0.00124184,1330,0.00124184
1340,0.00127697767530441,1340,0.00126288
1350,0.00153971527626514,1350,0.00148068
1360,0.00144999923000336,1360,0.0013492
1370,0.00147129437147617,1370,0.00133804
1380,0.00141772250982285,1380,0.00127088
1390,0.00155053444513321,1390,0.00138028
1400,0.00154654692844868,1400,0.00136988
1410,0.00157047489738464,1410,0.001389
1420,0.00162411223514557,1420,0.00143136
1430,0.00178723060860634,1430,0.00156316
1440,0.00170484192597866,1440,0.0014726
1450,0.00184734837030411,1450,0.00157124
1460,0.00228251959051132,1460,0.00190888
1470,0.00237059318248749,1470,0.00194384
1480,0.00225129829385757,1480,0.00180784
1490,0.00230881484855175,1490,0.00181332
1500,0.00276447496337891,1500,0.00212432
