Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,-3.38682606124878E-4,1100,-3.016E-4
1110,-2.39695465650558E-4,1110,-2.1704E-4
1120,-2.5038788087368E-4,1120,-2.298E-4
1130,-2.68865471611023E-4,1130,-2.4944E-4
1140,-2.19202695646286E-4,1140,-2.0504E-4
1150,-2.55361400337219E-4,1150,-2.4032E-4
1160,-2.7344694934845E-4,1160,-2.5824E-4
1170,-3.4761885509491E-4,1170,-3.284E-4
1180,-2.18252475395203E-4,1180,-2.0596E-4
1190,-3.39619857416153E-4,1190,-3.1976E-4
1200,-2.06384314775467E-4,1200,-1.9384E-4
1210,-1.61884955391884E-4,1210,-1.5172E-4
1220,-3.29486721553802E-4,1220,-3.0832E-4
1230,-2.84136103925705E-4,1230,-2.6552E-4
1240,-2.77119787545204E-4,1240,-2.5892E-4
1250,-1.6283039039135E-4,1250,-1.5212E-4
1260,-5.25585883426666E-5,1260,-4.908E-5
1270,-6.29261589002609E-5,1270,-5.876E-5
1280,-4.16730934858322E-5,1280,-3.892E-5
1290,-3.65756579589844E-5,1290,-3.436E-5
1300,5.87470922470093E-5,1300,5.6E-5
1310,1.80684285640717E-4,1310,1.756E-4
1320,2.08205063152313E-4,1320,2.0624E-4
1330,3.048E-4,1330,3.048E-4
1340,2.7398475777626E-4,1340,2.7096E-4
1350,3.76058724713326E-4,1350,3.6164E-4
1360,6.62494459934235E-4,1360,6.1644E-4
1370,4.47576799621582E-4,1370,4.0704E-4
1380,5.59333742308617E-4,1380,5.014E-4
1390,6.08270344676971E-4,1390,5.4148E-4
1400,8.63748740048409E-4,1400,7.6508E-4
1410,9.92304959640503E-4,1410,8.7764E-4
1420,8.84447661700249E-4,1420,7.7948E-4
1430,0.00120508525133133,1430,0.001054
1440,0.00145848150098324,1440,0.0012598
1450,0.00182294028995514,1450,0.00155048
1460,0.0019997515627861,1460,0.0016724
1470,0.00219497923366547,1470,0.00179984
1480,0.00236970116235256,1480,0.00190292
1490,0.00251885063783169,1490,0.00197828
1500,0.0031762207824707,1500,0.00244072
