Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,-1.48274705944061E-4,1100,-1.3204E-4
1110,-2.43052792482376E-4,1110,-2.2008E-4
1120,-1.43825936794281E-4,1120,-1.32E-4
1130,-2.5067091917038E-4,1130,-2.3256E-4
1140,-1.43084709253311E-4,1140,-1.3384E-4
1150,-1.47614870734215E-4,1150,-1.3892E-4
1160,-9.85188358402252E-5,1160,-9.304E-5
1170,5.00469533157349E-5,1170,4.728E-5
1180,-1.40937945365906E-4,1180,-1.33E-4
1190,1.86761182537079E-4,1190,1.7584E-4
1200,1.62262533903122E-4,1200,1.524E-4
1210,2.66749531030655E-5,1210,2.5E-5
1220,1.51235602083206E-4,1220,1.4152E-4
1230,4.01035124688149E-4,1230,3.7476E-4
1240,6.50865461153984E-4,1240,6.0812E-4
1250,7.59218638553619E-4,1250,7.0928E-4
1260,0.00105631197109222,1260,9.864E-4
1270,0.00137739321949482,1270,0.0012862
1280,0.00195430961537361,1280,0.0018252
1290,0.00225623694946289,1290,0.00211956
1300,0.00309760828755856,1300,0.00295276
1310,0.00359220115766525,1310,0.00349112
1320,0.00453605177443028,1320,0.00449324
1330,0.00558508,1330,0.00558508
1340,0.00675788622656822,1340,0.00668328
1350,0.00793013471784592,1350,0.00762608
1360,0.00928867873180389,1360,0.00864296
1370,0.0113715119668007,1370,0.0103416
1380,0.012998228996172,1380,0.01165192
1390,0.0156387532312202,1390,0.01392156
1400,0.0184028562529182,1400,0.01630064
1410,0.0219160506853485,1410,0.01938356
1420,0.0261405185046053,1420,0.02303812
1430,0.0316171837528706,1430,0.02765324
1440,0.0377462607023954,1440,0.03260428
1450,0.0448866949070358,1450,0.03817784
1460,0.051884919828825,1460,0.04339156
1470,0.0604592971040916,1470,0.04957544
1480,0.0706088557510853,1480,0.0567004
1490,0.0824825925396681,1490,0.064781
1500,0.0970233475585938,1500,0.07455616
