Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,-7.95050680160522E-6,1100,-7.08E-6
1110,2.94075325255394E-4,1110,2.6628E-4
1120,3.35332350816727E-4,1120,3.0776E-4
1130,3.57035755357742E-4,1130,3.3124E-4
1140,2.93738454232216E-4,1140,2.7476E-4
1150,1.89863411335945E-4,1150,1.7868E-4
1160,2.6819487039566E-4,1160,2.5328E-4
1170,9.93317702865601E-5,1170,9.384E-5
1180,2.8217260219574E-4,1180,2.6628E-4
1190,1.91391976189613E-4,1190,1.802E-4
1200,3.1298355948925E-4,1200,2.9396E-4
1210,3.68413112297058E-4,1210,3.4528E-4
1220,1.64486884346008E-4,1220,1.5392E-4
1230,1.40227459545135E-4,1230,1.3104E-4
1240,4.57014325976372E-4,1240,4.27E-4
1250,3.39618894710541E-4,1250,3.1728E-4
1260,1.94085545053482E-4,1260,1.8124E-4
1270,2.3902516450882E-4,1270,2.232E-4
1280,3.46961696124077E-4,1280,3.2404E-4
1290,3.28244176025391E-4,1290,3.0836E-4
1300,5.45760486974716E-4,1300,5.2024E-4
1310,4.79533624601364E-4,1310,4.6604E-4
1320,9.3328848323822E-4,1320,9.2448E-4
1330,7.4124E-4,1330,7.4124E-4
1340,6.89572798247337E-4,1340,6.8196E-4
1350,8.64173881721497E-4,1350,8.3104E-4
1360,8.23142165908814E-4,1360,7.6592E-4
1370,7.86558167023659E-4,1370,7.1532E-4
1380,7.65709375190735E-4,1380,6.864E-4
1390,0.00103873720602036,1390,9.2468E-4
1400,0.00125762213946819,1400,0.00111396
1410,0.00103264660423279,1410,9.1332E-4
1420,0.00117719089657307,1420,0.00103748
1430,0.00127011869449615,1430,0.00111088
1440,0.00142171267063618,1440,0.00122804
1450,0.00162226730566025,1450,0.0013798
1460,0.00181072936292648,1460,0.00151432
1470,0.00204985381762505,1470,0.00168084
1480,0.00180338975641251,1480,0.00144816
1490,0.00208197212172031,1490,0.00163516
1500,0.00266614527282715,1500,0.00204876
