Wavelength,S2c,Wavelength,S2
nm,V,nm,V
1100,0.00190753769685745,1100,0.00169868
1110,-0.00187899864199162,1110,-0.0017014
1120,-0.00192317069302559,1120,-0.00176504
1130,-0.00178487697141647,1130,-0.00165592
1140,-0.00174660844732285,1140,-0.00163376
1150,-0.00189536133908749,1150,-0.00178372
1160,-0.0018493247680378,1160,-0.00174648
1170,-0.00184877340911865,1170,-0.00174656
1180,-0.00187848027812958,1180,-0.00177268
1190,-0.00180405524459839,1190,-0.00169856
1200,-0.00173365379726887,1200,-0.00162828
1210,-0.00174198113744259,1210,-0.0016326
1220,-0.00166333514648438,1220,-0.00155648
1230,-0.00182085955482006,1230,-0.00170156
1240,-0.00174538801458836,1240,-0.00163076
1250,-0.00173179090196133,1250,-0.00161788
1260,-0.0016357843289566,1260,-0.00152752
1270,-0.0015080860110569,1270,-0.00140824
1280,-0.00149449221386909,1280,-0.00139576
1290,-0.0016964037121582,1290,-0.00159364
1300,-0.00165364672233582,1300,-0.00157632
1310,-0.00165953783173561,1310,-0.00161284
1320,-0.00124200215814114,1320,-0.00123028
1330,-0.00131236,1330,-0.00131236
1340,-0.0013832306954813,1340,-0.00136796
1350,-0.00125811837699413,1350,-0.00120988
1360,-0.00133990589979172,1360,-0.00124676
1370,-9.93456876282692E-4,1370,-9.0348E-4
1380,-0.00143891784509182,1380,-0.00128988
1390,-0.00104318566314697,1390,-9.2864E-4
1400,-7.55819661326408E-4,1400,-6.6948E-4
1410,-0.00122824930923462,1410,-0.00108632
1420,-0.00100721827415466,1420,-8.8768E-4
1430,-7.32746713352203E-4,1430,-6.4088E-4
1440,-9.78680680799484E-4,1440,-8.4536E-4
1450,-4.13197290840149E-4,1450,-3.5144E-4
1460,-1.12734140958786E-4,1460,-9.428E-5
1470,5.16597699451447E-5,1470,4.236E-5
1480,-2.88410857629776E-5,1480,-2.316E-5
1490,-1.22232273101807E-6,1490,-9.6E-7
1500,2.83693389892578E-4,1500,2.18E-4
